Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
2006,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",198.6669079
2006,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",208.9251834
2006,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",323.2800622
2006,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",118.2755921
2006,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",262.64334
2006,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",212.1482695
2006,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",272.5407968
2006,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",270.7854658
2006,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",285.7728198
2006,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",247.2585108
2006,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",367.8174075
2006,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",262.2732633
2007,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",247.6372239
2007,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",333.8927848
2007,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",279.6039133
2007,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",142.4529426
2007,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",269.6723575
2007,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",310.7968759
2007,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",263.501489
2007,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",292.1083707
2007,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",202.3143352
2007,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",258.2988386
2007,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",349.2072338
2007,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",207.2672026
2008,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",216.8889332
2008,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",297.4641728
2008,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",260.4142423
2008,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",181.105664
2008,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",246.6588104
2008,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",260.8051383
2008,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",220.129406
2008,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",278.5544982
2008,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",203.2994848
2008,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",231.8517359
2008,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",106.6140021
2008,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",104.0845963
2009,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",81.36276949
2009,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",32.65777976
2009,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",169.4867119
2009,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",19.97443479
2009,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",74.45625832
2009,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",108.225658
2009,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",185.936531
2009,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",149.0187092
2009,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",173.0328344
2009,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",165.9959154
2009,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",74.22877443
2009,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",40.49540443
2010,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",58.16667964
2010,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",63.07842153
2010,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",97.45678768
2010,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",19.63546333
2010,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",54.26648718
2010,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",149.5598439
2010,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",129.9738138
2010,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",30.86094945
2010,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",30.9229994
2010,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",34.63418205
2010,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",3.724172151
2010,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",31.72161742
2011,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",77.27216428
2011,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",61.80056174
2011,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",158.2899938
2011,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",45.25066254
2011,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",48.69616345
2011,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",20.31964549
2011,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",25.75041802
2011,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",14.04392132
2011,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",63.41802795
2011,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",43.72076226
2011,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",33.73424083
2011,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",6.021432015
2012,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",27.31489688
2012,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",27.30523607
2012,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",34.77476378
2012,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",10.47931604
2012,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",34.16011911
2012,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",16.7280039
2012,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",12.89404419
2012,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",24.72936322
2012,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",10.08044148
2012,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",70.73483709
2012,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",8.786183323
2012,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",13.72547439
2013,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",9.403501262
2013,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",8.747128174
2013,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",12.01152084
2013,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",4.12201221
2013,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",11.96078527
2013,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",20.76023675
2013,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",24.23814264
2013,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",9.01626213
2013,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",44.364656
2013,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",265.7830699
2013,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",104.9357349
2013,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",278.4932367
2014,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",332.2807595
2014,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",228.0996905
2014,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",682.2370502
2014,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",516.3789607
2014,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",638.4618756
2014,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",170.4348804
2014,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",115.5123114
2014,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",232.980159
2014,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",354.0479572
2014,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",442.7334787
2014,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",363.9591773
2014,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",299.1528811
2015,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",393.9050631
2015,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",401.2781719
2015,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",324.0401615
2015,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",455.6414987
2015,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",643.2463776
2015,Jun,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",173.1879681
2015,Jul,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",275.3156155
2015,Aug,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",261.754951
2015,Sep,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",491.8031748
2015,Oct,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",323.2910291
2015,Nov,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",180.9811394
2015,Dec,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",477.2276954
2016,Jan,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",377.9595066
2016,Feb,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",533.5394235
2016,Mar,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",462.7337653
2016,Apr,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",1087.593385
2016,May,"Exports, from U.S. to specified destination",Corn,Colombia,"1,000 metric tons",134.7233515